"Localidades";"Períodos";"Índice de Desenvolvimento Humano Municipal - IDHM ";"Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ";"Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ";"Índice de Desenvolvimento Humano Municipal - IDHM Educação ";"Índice de Desenvolvimento Humano Municipal - IDHM Renda ";"Cód. IBGE"
"Adamantina";"1991";"0,592";"30";"0,731";"0,423";"0,672";3500105
"Adamantina";"2000";"0,721";"32";"0,811";"0,644";"0,718";3500105
"Adamantina";"2010";"0,79";"35";"0,852";"0,75";"0,772";3500105
"Adolfo";"1991";"0,513";"253";"0,751";"0,296";"0,608";3500204
"Adolfo";"2000";"0,667";"196";"0,802";"0,574";"0,644";3500204
"Adolfo";"2010";"0,73";"388";"0,844";"0,648";"0,71";3500204
"Aguaí";"1991";"0,491";"347";"0,719";"0,26";"0,634";3500303
"Aguaí";"2000";"0,642";"336";"0,801";"0,473";"0,697";3500303
"Aguaí";"2010";"0,715";"502";"0,858";"0,606";"0,703";3500303
"Águas da Prata";"1991";"0,576";"48";"0,775";"0,365";"0,674";3500402
"Águas da Prata";"2000";"0,692";"102";"0,807";"0,575";"0,714";3500402
"Águas da Prata";"2010";"0,781";"62";"0,886";"0,716";"0,75";3500402
"Águas de Lindóia";"1991";"0,558";"91";"0,756";"0,347";"0,664";3500501
"Águas de Lindóia";"2000";"0,695";"93";"0,842";"0,539";"0,741";3500501
"Águas de Lindóia";"2010";"0,745";"265";"0,846";"0,675";"0,725";3500501
"Águas de Santa Bárbara";"1991";"0,559";"88";"0,742";"0,363";"0,65";3500550
"Águas de Santa Bárbara";"2000";"0,668";"189";"0,831";"0,515";"0,697";3500550
"Águas de Santa Bárbara";"2010";"0,757";"182";"0,84";"0,695";"0,744";3500550
"Águas de São Pedro";"1991";"0,634";"5";"0,785";"0,405";"0,803";3500600
"Águas de São Pedro";"2000";"0,791";"2";"0,87";"0,657";"0,867";3500600
"Águas de São Pedro";"2010";"0,854";"2";"0,89";"0,825";"0,849";3500600
