"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Adamantina";"2014";"1359";"1001";"358";"3540";"1211";"1480";"849";"1575";"1343";"-";"232";"65";"-";"-";"65";3500105
"Adamantina";"2015";"1320";"920";"400";"3492";"1138";"1389";"965";"1569";"1342";"-";"227";"157";"52";"38";"67";3500105
"Adamantina";"2016";"1372";"1010";"362";"3619";"1184";"1384";"1051";"1512";"1270";"-";"242";"169";"64";"36";"69";3500105
"Adamantina";"2017";"1356";"998";"358";"3588";"1119";"1360";"1109";"1407";"1178";"-";"229";"168";"71";"33";"64";3500105
"Adamantina";"2018";"1402";"1072";"330";"3686";"1130";"1325";"1231";"1358";"1122";"";"236";"185";"75";"40";"70";3500105
"Adolfo";"2014";"119";"41";"78";"487";"-";"487";"-";"176";"176";"-";"-";"-";"-";"-";"-";3500204
"Adolfo";"2015";"106";"24";"82";"447";"-";"447";"-";"159";"159";"-";"-";"8";"1";"6";"1";3500204
"Adolfo";"2016";"175";"50";"125";"434";"-";"434";"-";"166";"166";"-";"-";"7";"1";"6";"-";3500204
"Adolfo";"2017";"192";"43";"149";"455";"-";"455";"-";"147";"147";"-";"-";"7";"-";"6";"1";3500204
"Adolfo";"2018";"217";"123";"94";"472";"";"472";"";"133";"133";"";"";"12";"1";"11";"-";3500204
"Aguaí";"2014";"1334";"1182";"152";"4330";"1572";"2429";"329";"1107";"1068";"-";"39";"164";"-";"34";"130";3500303
"Aguaí";"2015";"1307";"1154";"153";"4405";"1500";"2447";"458";"1064";"1021";"-";"43";"273";"54";"122";"97";3500303
"Aguaí";"2016";"1334";"1180";"154";"4353";"1517";"2406";"430";"1085";"1036";"-";"49";"247";"46";"121";"80";3500303
"Aguaí";"2017";"1343";"1193";"150";"4236";"1376";"2437";"423";"1073";"1027";"-";"46";"250";"49";"122";"79";3500303
"Aguaí";"2018";"1500";"1335";"165";"4177";"1354";"2441";"382";"1052";"1012";"";"40";"233";"52";"124";"57";3500303
