"Localidades";"Períodos";"Renda per Capita - Censo Demográfico (Em reais correntes)";"Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %)";"Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %)";"Cód. IBGE"
"Adamantina";"2000";"353,34";"";"";3500105
"Adamantina";"2010";"778,44";"12,78";"3,03";3500105
"Adolfo";"2000";"221,97";"";"";3500204
"Adolfo";"2010";"588,02";"16,08";"5,33";3500204
"Aguaí";"2000";"311,06";"";"";3500303
"Aguaí";"2010";"540,88";"24,41";"6,87";3500303
"Águas da Prata";"2000";"342,77";"";"";3500402
"Águas da Prata";"2010";"726,28";"18,04";"4,09";3500402
"Águas de Lindóia";"2000";"401,66";"";"";3500501
"Águas de Lindóia";"2010";"680,22";"15,97";"5,31";3500501
"Águas de Santa Bárbara";"2000";"302";"";"";3500550
"Águas de Santa Bárbara";"2010";"703,8";"17,09";"4,77";3500550
"Águas de São Pedro";"2000";"893,92";"";"";3500600
"Águas de São Pedro";"2010";"1353,66";"7,27";"2,93";3500600
"Agudos";"2000";"264,25";"";"";3500709
"Agudos";"2010";"584,66";"21,07";"6,88";3500709
"Alambari";"2000";"211,4";"";"";3500758
"Alambari";"2010";"510,33";"24,15";"7,22";3500758
"Alfredo Marcondes";"2000";"224,99";"";"";3500808
"Alfredo Marcondes";"2010";"574,27";"19,16";"4,59";3500808
"Altair";"2000";"223,48";"";"";3500907
"Altair";"2010";"517,99";"20,74";"5,31";3500907
"Altinópolis";"2000";"391,09";"";"";3501004
"Altinópolis";"2010";"635,36";"18";"3,96";3501004
"Alto Alegre";"2000";"208,38";"";"";3501103
"Alto Alegre";"2010";"517,16";"20,75";"5,45";3501103
"Alumínio";"2000";"300,49";"";"";3501152
"Alumínio";"2010";"653,51";"17,47";"6,54";3501152
"Álvares Florence";"2000";"252,17";"";"";3501202
"Álvares Florence";"2010";"463,88";"26,23";"10,57";3501202
"Álvares Machado";"2000";"256,7";"";"";3501301
"Álvares Machado";"2010";"558,09";"23,9";"6,45";3501301
"Álvaro de Carvalho";"2000";"120,8";"";"";3501400
"Álvaro de Carvalho";"2010";"331,26";"26,38";"7,61";3501400
"Alvinlândia";"2000";"187,24";"";"";3501509
"Alvinlândia";"2010";"500,44";"27,3";"5,7";3501509
"Americana";"2000";"472,63";"";"";3501608
"Americana";"2010";"996,71";"8,01";"2,78";3501608
"Américo Brasiliense";"2000";"241,6";"";"";3501707
"Américo Brasiliense";"2010";"565,83";"18,66";"6,04";3501707
"Américo de Campos";"2000";"237,07";"";"";3501806
"Américo de Campos";"2010";"591,29";"17,83";"2,93";3501806
"Amparo";"2000";"443,94";"";"";3501905
"Amparo";"2010";"816,69";"10,48";"2,8";3501905
"Analândia";"2000";"320,12";"";"";3502002
"Analândia";"2010";"685,94";"17,98";"4,33";3502002
"Andradina";"2000";"353,34";"";"";3502101
"Andradina";"2010";"710";"16,83";"5,28";3502101
"Angatuba";"2000";"250,66";"";"";3502200
"Angatuba";"2010";"524,82";"24,21";"5,75";3502200
"Anhembi";"2000";"249,15";"";"";3502309
"Anhembi";"2010";"401,87";"26,73";"8,46";3502309
"Anhumas";"2000";"164,59";"";"";3502408
"Anhumas";"2010";"475,43";"26,11";"9,26";3502408
"Aparecida";"2000";"321,63";"";"";3502507
"Aparecida";"2010";"639,68";"20,15";"5,83";3502507
"Aparecida d'Oeste";"2000";"250,66";"";"";3502606
"Aparecida d'Oeste";"2010";"508";"26,89";"9,37";3502606
"Apiaí";"2000";"170,63";"";"";3502705
"Apiaí";"2010";"445,21";"44,46";"21,26";3502705
"Aramina";"2000";"250,66";"";"";3503000
"Aramina";"2010";"616,78";"17,42";"4,66";3503000
"Arandu";"2000";"188,75";"";"";3503109
"Arandu";"2010";"484,52";"22,54";"5,78";3503109
"Arapeí";"2000";"152,51";"";"";3503158
"Arapeí";"2010";"414,54";"31,9";"9,75";3503158
"Araraquara";"2000";"439,41";"";"";3503208
"Araraquara";"2010";"891,74";"12,69";"4,21";3503208
"Araras";"2000";"374,48";"";"";3503307
"Araras";"2010";"796,15";"13,16";"3,8";3503307
"Araçariguama";"2000";"270,29";"";"";3502754
"Araçariguama";"2010";"591,97";"20,93";"6,03";3502754
"Araçatuba";"2000";"501,32";"";"";3502804
"Araçatuba";"2010";"847,76";"15,06";"5,58";3502804
"Araçoiaba da Serra";"2000";"306,53";"";"";3502903
"Araçoiaba da Serra";"2010";"763,31";"20,64";"6,81";3502903
"Arco-Íris";"2000";"128,35";"";"";3503356
"Arco-Íris";"2010";"468,04";"27,42";"8,87";3503356
"Arealva";"2000";"273,31";"";"";3503406
"Arealva";"2010";"616,98";"21,22";"7,1";3503406
"Areias";"2000";"200,83";"";"";3503505
"Areias";"2010";"356,22";"45,98";"18,74";3503505
"Areiópolis";"2000";"202,34";"";"";3503604
"Areiópolis";"2010";"502,08";"20,6";"5,18";3503604
"Ariranha";"2000";"220,46";"";"";3503703
"Ariranha";"2010";"669,28";"11,62";"3,08";3503703
"Artur Nogueira";"2000";"315,59";"";"";3503802
"Artur Nogueira";"2010";"661,52";"16,02";"4,45";3503802
"Arujá";"2000";"336,73";"";"";3503901
"Arujá";"2010";"745,4";"25,75";"10,72";3503901
"Aspásia";"2000";"175,16";"";"";3503950
"Aspásia";"2010";"422,34";"25,53";"7,54";3503950
"Assis";"2000";"397,13";"";"";3504008
"Assis";"2010";"802,57";"15,18";"4,59";3504008
"Atibaia";"2000";"443,94";"";"";3504107
"Atibaia";"2010";"871,55";"15,76";"5,64";3504107
"Auriflama";"2000";"326,16";"";"";3504206
"Auriflama";"2010";"676,26";"13,66";"3,01";3504206
"Avaí";"2000";"209,89";"";"";3504305
"Avaí";"2010";"474,78";"32,52";"12,27";3504305
"Avanhandava";"2000";"212,91";"";"";3504404
"Avanhandava";"2010";"465,53";"24,02";"6,84";3504404
"Avaré";"2000";"366,93";"";"";3504503
"Avaré";"2010";"723,28";"17,27";"5,22";3504503
"Bady Bassitt";"2000";"317,1";"";"";3504602
"Bady Bassitt";"2010";"693,08";"12,6";"4,65";3504602
"Balbinos";"2000";"229,52";"";"";3504701
"Balbinos";"2010";"205,84";"20,47";"5,76";3504701
"Bálsamo";"2000";"433,37";"";"";3504800
"Bálsamo";"2010";"735,55";"11,88";"2,76";3504800
"Bananal";"2000";"261,23";"";"";3504909
"Bananal";"2010";"528,97";"32,49";"10,57";3504909
"Barão de Antonina";"2000";"173,65";"";"";3505005
"Barão de Antonina";"2010";"446,88";"36,16";"14,01";3505005
"Barbosa";"2000";"193,28";"";"";3505104
"Barbosa";"2010";"489,35";"24,73";"7,7";3505104
"Bariri";"2000";"336,73";"";"";3505203
"Bariri";"2010";"677,08";"12,82";"3,05";3505203
"Barra Bonita";"2000";"369,95";"";"";3505302
"Barra Bonita";"2010";"729,78";"12,37";"3,2";3505302
"Barra do Chapéu";"2000";"104,19";"";"";3505351
"Barra do Chapéu";"2010";"303,98";"56,02";"27,24";3505351
"Barra do Turvo";"2000";"104,19";"";"";3505401
"Barra do Turvo";"2010";"359,38";"46,85";"22,06";3505401
"Barretos";"2000";"395,62";"";"";3505500
"Barretos";"2010";"792,94";"13,98";"4,44";3505500
"Barrinha";"2000";"215,93";"";"";3505609
"Barrinha";"2010";"529,22";"21,99";"7,2";3505609
"Barueri";"2000";"495,28";"";"";3505708
"Barueri";"2010";"877,46";"23,05";"8,73";3505708
"Bastos";"2000";"247,64";"";"";3505807
"Bastos";"2010";"518,35";"20,53";"5,94";3505807
