"Localidades";"Períodos";"Taxa Geométrica de Crescimento Anual da População - 2010/2019 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 2000/2010 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1991/2000 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1980/1991 (Em % a.a.)";"Cód. IBGE"
"Adamantina";"1991";"";"";"";"0,01";3500105
"Adamantina";"2000";"";"";"0,47";"";3500105
"Adamantina";"2010";"";"0,09";"";"";3500105
"Adamantina";"2019";"0,03";"";"";"";3500105
"Adolfo";"1991";"";"";"";"-0,9";3500204
"Adolfo";"2000";"";"";"1,3";"";3500204
"Adolfo";"2010";"";"-0,34";"";"";3500204
"Adolfo";"2019";"-0,32";"";"";"";3500204
"Aguaí";"1991";"";"";"";"2,88";3500303
"Aguaí";"2000";"";"";"2,17";"";3500303
"Aguaí";"2010";"";"1,33";"";"";3500303
"Aguaí";"2019";"1,04";"";"";"";3500303
"Águas da Prata";"1991";"";"";"";"1,43";3500402
"Águas da Prata";"2000";"";"";"0,73";"";3500402
"Águas da Prata";"2010";"";"0,62";"";"";3500402
"Águas da Prata";"2019";"0,29";"";"";"";3500402
"Águas de Lindóia";"1991";"";"";"";"2,48";3500501
"Águas de Lindóia";"2000";"";"";"3,4";"";3500501
"Águas de Lindóia";"2010";"";"0,67";"";"";3500501
"Águas de Lindóia";"2019";"0,63";"";"";"";3500501
"Águas de Santa Bárbara";"1991";"";"";"";"2,48";3500550
"Águas de Santa Bárbara";"2000";"";"";"3,31";"";3500550
"Águas de Santa Bárbara";"2010";"";"0,72";"";"";3500550
"Águas de Santa Bárbara";"2019";"0,58";"";"";"";3500550
"Águas de São Pedro";"1991";"";"";"";"4,07";3500600
"Águas de São Pedro";"2000";"";"";"1,24";"";3500600
"Águas de São Pedro";"2010";"";"3,68";"";"";3500600
"Águas de São Pedro";"2019";"1,49";"";"";"";3500600
"Agudos";"1991";"";"";"";"2,37";3500709
"Agudos";"2000";"";"";"0,91";"";3500709
"Agudos";"2010";"";"0,61";"";"";3500709
"Agudos";"2019";"0,47";"";"";"";3500709
"Alambari";"1991";"";"";"";"NA";3500758
"Alambari";"2000";"";"";"1,15";"";3500758
"Alambari";"2010";"";"2,94";"";"";3500758
"Alambari";"2019";"1,74";"";"";"";3500758
"Alfredo Marcondes";"1991";"";"";"";"-1,89";3500808
"Alfredo Marcondes";"2000";"";"";"0,59";"";3500808
"Alfredo Marcondes";"2010";"";"0,51";"";"";3500808
"Alfredo Marcondes";"2019";"0,1";"";"";"";3500808
"Altair";"1991";"";"";"";"3,06";3500907
"Altair";"2000";"";"";"1,04";"";3500907
"Altair";"2010";"";"0,78";"";"";3500907
"Altair";"2019";"0,58";"";"";"";3500907
"Altinópolis";"1991";"";"";"";"0,61";3501004
"Altinópolis";"2000";"";"";"1,42";"";3501004
"Altinópolis";"2010";"";"0,09";"";"";3501004
"Altinópolis";"2019";"-0,04";"";"";"";3501004
"Alto Alegre";"1991";"";"";"";"-2,16";3501103
"Alto Alegre";"2000";"";"";"-1,32";"";3501103
"Alto Alegre";"2010";"";"-0,39";"";"";3501103
"Alto Alegre";"2019";"-0,21";"";"";"";3501103
"Alumínio";"1991";"";"";"";"NA";3501152
"Alumínio";"2000";"";"";"1,18";"";3501152
"Alumínio";"2010";"";"1";"";"";3501152
"Alumínio";"2019";"0,66";"";"";"";3501152
"Álvares Florence";"1991";"";"";"";"-2,4";3501202
"Álvares Florence";"2000";"";"";"-1,75";"";3501202
"Álvares Florence";"2010";"";"-1,02";"";"";3501202
"Álvares Florence";"2019";"-0,74";"";"";"";3501202
"Álvares Machado";"1991";"";"";"";"2,32";3501301
"Álvares Machado";"2000";"";"";"2,08";"";3501301
"Álvares Machado";"2010";"";"0,38";"";"";3501301
"Álvares Machado";"2019";"0,12";"";"";"";3501301
"Álvaro de Carvalho";"1991";"";"";"";"-2,03";3501400
"Álvaro de Carvalho";"2000";"";"";"3,01";"";3501400
"Álvaro de Carvalho";"2010";"";"1,26";"";"";3501400
"Álvaro de Carvalho";"2019";"0,83";"";"";"";3501400
"Alvinlândia";"1991";"";"";"";"-2,78";3501509
"Alvinlândia";"2000";"";"";"1,17";"";3501509
"Alvinlândia";"2010";"";"0,57";"";"";3501509
"Alvinlândia";"2019";"0,58";"";"";"";3501509
"Americana";"1991";"";"";"";"2,13";3501608
"Americana";"2000";"";"";"1,95";"";3501608
"Americana";"2010";"";"1,44";"";"";3501608
"Americana";"2019";"1,06";"";"";"";3501608
"Américo Brasiliense";"1991";"";"";"";"4,88";3501707
"Américo Brasiliense";"2000";"";"";"3,95";"";3501707
"Américo Brasiliense";"2010";"";"2,01";"";"";3501707
"Américo Brasiliense";"2019";"1,59";"";"";"";3501707
"Américo de Campos";"1991";"";"";"";"-1,86";3501806
"Américo de Campos";"2000";"";"";"-0,03";"";3501806
"Américo de Campos";"2010";"";"0,2";"";"";3501806
"Américo de Campos";"2019";"0,06";"";"";"";3501806
"Amparo";"1991";"";"";"";"1,8";3501905
"Amparo";"2000";"";"";"2";"";3501905
"Amparo";"2010";"";"0,87";"";"";3501905
"Amparo";"2019";"0,58";"";"";"";3501905
"Analândia";"1991";"";"";"";"2,5";3502002
"Analândia";"2000";"";"";"1,94";"";3502002
"Analândia";"2010";"";"1,83";"";"";3502002
"Analândia";"2019";"1,26";"";"";"";3502002
"Andradina";"1991";"";"";"";"0,86";3502101
"Andradina";"2000";"";"";"0,58";"";3502101
"Andradina";"2010";"";"0,04";"";"";3502101
"Andradina";"2019";"0,13";"";"";"";3502101
"Angatuba";"1991";"";"";"";"1,96";3502200
"Angatuba";"2000";"";"";"1,29";"";3502200
"Angatuba";"2010";"";"1,42";"";"";3502200
"Angatuba";"2019";"1";"";"";"";3502200
"Anhembi";"1991";"";"";"";"0,18";3502309
"Anhembi";"2000";"";"";"2,85";"";3502309
"Anhembi";"2010";"";"2,23";"";"";3502309
"Anhembi";"2019";"1,7";"";"";"";3502309
"Anhumas";"1991";"";"";"";"-0,46";3502408
"Anhumas";"2000";"";"";"0,54";"";3502408
"Anhumas";"2010";"";"0,92";"";"";3502408
"Anhumas";"2019";"0,6";"";"";"";3502408
"Aparecida";"1991";"";"";"";"1,16";3502507
"Aparecida";"2000";"";"";"0,54";"";3502507
"Aparecida";"2010";"";"0,03";"";"";3502507
"Aparecida";"2019";"0,2";"";"";"";3502507
"Aparecida d'Oeste";"1991";"";"";"";"-0,1";3502606
"Aparecida d'Oeste";"2000";"";"";"-0,36";"";3502606
"Aparecida d'Oeste";"2010";"";"-1,02";"";"";3502606
"Aparecida d'Oeste";"2019";"-0,75";"";"";"";3502606
